Id,class,Label
NONMMUG067335.1,lnc-gene,067335.1
NONMMUG077936.1,lnc-gene,077936.1
NONMMUG084236.1,lnc-gene,084236.1
NONMMUG039883.2,lnc-gene,039883.2
NONMMUG026289.2,lnc-gene,026289.2
NONMMUG032651.2,lnc-gene,032651.2
NONMMUG026043.2,lnc-gene,026043.2
NONMMUG034580.3,lnc-gene,034580.3
NONMMUG084608.2,lnc-gene,084608.2
NONMMUG032557.2,lnc-gene,032557.2
NONMMUG033067.3,lnc-gene,033067.3
NONMMUG016169.2,lnc-gene,016169.2
NONMMUG041169.2,lnc-gene,041169.2
NONMMUG033312.3,lnc-gene,033312.3
NONMMUG008634.2,lnc-gene,008634.2
NONMMUG037820.3,lnc-gene,037820.3
NONMMUG010126.2,lnc-gene,010126.2
NONMMUG027215.2,lnc-gene,027215.2
NONMMUG039070.2,lnc-gene,039070.2
NONMMUG017197.2,lnc-gene,017197.2
NONMMUG027686.2,lnc-gene,027686.2
NONMMUG053859.1,lnc-gene,053859.1
NONMMUG065517.1,lnc-gene,065517.1
NONMMUG037997.3,lnc-gene,037997.3
NONMMUG090711.1,lnc-gene,090711.1
NONMMUG047820.2,lnc-gene,047820.2
Cdh11,coding-gene,Cdh11
Zeb1,coding-gene,Zeb1
Trp53inp1,coding-gene,Trp53inp1
Maf,coding-gene,Maf
Prkce,coding-gene,Prkce
Pea15a,coding-gene,Pea15a
Tbx3,coding-gene,Tbx3
Mmp9,coding-gene,Mmp9
Flt1,coding-gene,Flt1
Yap1,coding-gene,Yap1
Bcl2l11,coding-gene,Bcl2l11
Ptbp2,coding-gene,Ptbp2
Ptn,coding-gene,Ptn
Tspan14,coding-gene,Tspan14
Nr4a2,coding-gene,Nr4a2
Wwp2,coding-gene,Wwp2
Tbx1,coding-gene,Tbx1
Elavl4,coding-gene,Elavl4
Igf1r,coding-gene,Igf1r
Neurod1,coding-gene,Neurod1
Zfpm2,coding-gene,Zfpm2
Runx1,coding-gene,Runx1
Nr1h3,coding-gene,Nr1h3
Jph2,coding-gene,Jph2
Osr1,coding-gene,Osr1
Cd209a,coding-gene,Cd209a
Timp2,coding-gene,Timp2
Tceal1,coding-gene,Tceal1
Ache,coding-gene,Ache
Slc23a2,coding-gene,Slc23a2
Cacna1c,coding-gene,Cacna1c
Il17rd,coding-gene,Il17rd
Notch1,coding-gene,Notch1
Cited2,coding-gene,Cited2
Slc4a4,coding-gene,Slc4a4
Sox4,coding-gene,Sox4
Lif,coding-gene,Lif
Jun,coding-gene,Jun
Tcf7,coding-gene,Tcf7
Sdc2,coding-gene,Sdc2
Ackr3,coding-gene,Ackr3
Hoxa9,coding-gene,Hoxa9
Ccnd1,coding-gene,Ccnd1
Bcl2,coding-gene,Bcl2
Hmga2,coding-gene,Hmga2
Reck,coding-gene,Reck
Ezh2,coding-gene,Ezh2
Sall4,coding-gene,Sall4
Myc,coding-gene,Myc
Stc1,coding-gene,Stc1
Hells,coding-gene,Hells
Camk2g,coding-gene,Camk2g
Smo,coding-gene,Smo
Sox6,coding-gene,Sox6
Timp3,coding-gene,Timp3
Ajuba,coding-gene,Ajuba
Drd3,coding-gene,Drd3
Tnf,coding-gene,Tnf
Lef1,coding-gene,Lef1
Bak1,coding-gene,Bak1
Cbx7,coding-gene,Cbx7
Tgfbi,coding-gene,Tgfbi
Suv39h1,coding-gene,Suv39h1
Dll1,coding-gene,Dll1
Cbfb,coding-gene,Cbfb
Vcl,coding-gene,Vcl
Sema4b,coding-gene,Sema4b
Smad9,coding-gene,Smad9
Gas1,coding-gene,Gas1
Smad7,coding-gene,Smad7
Eif4e3,coding-gene,Eif4e3
Cdk6,coding-gene,Cdk6
Hspa5,coding-gene,Hspa5
Parp1,coding-gene,Parp1
Dtna,coding-gene,Dtna
Wnt5a,coding-gene,Wnt5a
Idh1,coding-gene,Idh1
Pax6,coding-gene,Pax6
Nr2c2,coding-gene,Nr2c2
Syt1,coding-gene,Syt1
Wasf1,coding-gene,Wasf1
Tgfb1,coding-gene,Tgfb1
