#maxlength trans of genes
gene_id	trans_id	maxlength	exon_num
NONMMUG008656.2	NONMMUT013683.2	3764	4
NONMMUG047186.1	NONMMUT076072.1	1212	1
NONMMUG008010.2	NONMMUT012620.2	2446	4
NONMMUG014637.3	NONMMUT143681.1	3019	4
ENSMUSG00000114945	ENSMUST00000225099	510	3
NONMMUG017261.2	NONMMUT027857.2	1704	2
NONMMUG044781.2	NONMMUT135892.1	1504	1
ENSMUSG00000111977	ENSMUST00000219233	1665	1
NONMMUG023421.2	NONMMUT107301.1	1130	4
NONMMUG042908.2	NONMMUT069291.2	1771	1
NONMMUG023454.3	NONMMUT109226.1	3441	8
NONMMUG020788.2	NONMMUT033853.2	385	2
NONMMUG011830.2	NONMMUT019001.2	2913	2
NONMMUG052740.1	NONMMUT084675.1	3705	1
NONMMUG003458.2	NONMMUT005383.2	2383	2
NONMMUG024584.2	NONMMUT039730.2	4296	2
NONMMUG043288.2	NONMMUT069931.2	1189	2
NONMMUG004896.2	NONMMUT007726.2	551	2
NONMMUG015468.2	NONMMUT025007.2	270	1
NONMMUG011468.2	NONMMUT090297.1	4628	1
NONMMUG023838.2	NONMMUT038570.2	412	1
NONMMUG001254.2	NONMMUT075922.1	2750	2
NONMMUG019478.2	NONMMUT031687.2	1873	1
NONMMUG095206.1	NONMMUT151535.1	1613	1
NONMMUG047485.1	NONMMUT076547.1	454	1
NONMMUG025318.3	NONMMUT147148.1	5221	5
NONMMUG010749.3	NONMMUT017088.2	3977	2
NONMMUG028478.2	NONMMUT116159.1	2398	5
NONMMUG022699.2	NONMMUT108984.1	2461	8
NONMMUG055247.2	NONMMUT014810.2	11144	2
NONMMUG091083.1	NONMMUT144622.1	534	1
NONMMUG088573.1	NONMMUT140403.1	1364	1
NONMMUG013817.2	NONMMUT093710.1	3067	5
NONMMUG020561.2	NONMMUT033416.2	1786	1
NONMMUG023039.2	NONMMUT037363.2	2576	6
NONMMUG011676.2	NONMMUT018762.2	3818	1
NONMMUG086368.2	NONMMUT154257.1	5139	2
NONMMUG011074.2	NONMMUT017667.2	1033	2
NONMMUG007478.3	NONMMUT141088.1	3432	1
NONMMUG028079.2	NONMMUT045501.2	1418	4
NONMMUG008596.2	NONMMUT013554.2	1058	2
NONMMUG040234.2	NONMMUT065115.2	3909	2
NONMMUG012898.2	NONMMUT092914.1	2650	4
NONMMUG018188.2	NONMMUT029435.2	856	1
NONMMUG036510.2	NONMMUT058727.2	471	1
NONMMUG031106.2	NONMMUT050233.2	646	3
NONMMUG039868.2	NONMMUT064587.2	2343	2
NONMMUG058451.1	NONMMUT093722.1	1112	1
NONMMUG009275.2	NONMMUT014644.2	1044	4
NONMMUG087581.1	NONMMUT138548.1	4182	1
ENSMUSG00000031838	ENSMUST00000222087	981	7
NONMMUG014245.2	NONMMUT023024.2	1486	2
NONMMUG029129.3	NONMMUT148023.1	1983	4
NONMMUG008073.2	NONMMUT012712.2	2075	2
NONMMUG041788.3	NONMMUT152984.1	2110	3
NONMMUG096618.1	NONMMUT154429.1	398	1
NONMMUG013301.2	NONMMUT021425.2	4040	1
NONMMUG067660.1	NONMMUT108194.1	2179	1
NONMMUG019128.3	NONMMUT031052.2	3291	2
NONMMUG013880.2	NONMMUT095145.1	3392	3
NONMMUG029945.2	NONMMUT117037.1	938	3
NONMMUG000600.2	NONMMUT075465.1	2215	2
NONMMUG038514.2	NONMMUT062437.2	322	2
NONMMUG006470.2	NONMMUT083848.1	683	4
NONMMUG034674.3	NONMMUT123461.1	3599	13
NONMMUG092029.1	NONMMUT146188.1	1552	2
NONMMUG024068.2	NONMMUT038973.2	4268	1
NONMMUG012484.2	NONMMUT020131.2	1845	1
NONMMUG041209.2	NONMMUT066573.2	326	2
NONMMUG012693.2	NONMMUT020442.2	3916	1
NONMMUG027626.2	NONMMUT044747.2	2458	5
NONMMUG033608.2	NONMMUT054189.2	469	2
NONMMUG035146.2	NONMMUT056597.2	1880	1
NONMMUG019950.2	NONMMUT032392.2	7762	2
NONMMUG094072.1	NONMMUT149614.1	6265	1
NONMMUG035022.2	NONMMUT056392.2	1563	1
NONMMUG028470.2	NONMMUT046112.2	1738	2
ENSMUSG00000118354	ENSMUST00000236540	400	3
NONMMUG040786.2	NONMMUT065916.2	3758	2
NONMMUG013935.2	NONMMUT022580.2	3597	1
NONMMUG017197.2	NONMMUT027748.2	2362	1
NONMMUG020339.3	NONMMUT145475.1	2642	3
NONMMUG028583.2	NONMMUT046294.2	324	1
NONMMUG093518.1	NONMMUT148718.1	918	2
NONMMUG010516.2	NONMMUT016706.2	2832	2
NONMMUG025731.2	NONMMUT041582.2	8713	10
NONMMUG006543.2	NONMMUT083870.1	1011	3
NONMMUG066183.1	NONMMUT105879.1	736	1
NONMMUG092227.1	NONMMUT146522.1	1185	1
NONMMUG002877.2	NONMMUT004454.2	895	2
NONMMUG029874.2	NONMMUT048181.2	489	3
NONMMUG020717.2	NONMMUT033713.2	1690	1
NONMMUG027686.2	NONMMUT044832.2	3692	1
NONMMUG043140.2	NONMMUT069656.2	352	2
NONMMUG004817.3	NONMMUT140274.1	986	3
NONMMUG035699.2	NONMMUT057475.2	399	1
NONMMUG007513.2	NONMMUT085756.1	1434	4
NONMMUG035676.3	NONMMUT150001.1	1464	6
NONMMUG078045.1	NONMMUT124502.1	890	1
NONMMUG036688.2	NONMMUT059047.2	858	2
NONMMUG025889.2	NONMMUT110426.1	5270	20
NONMMUG004217.3	NONMMUT140136.1	2577	4
NONMMUG001569.2	NONMMUT002330.2	2120	4
NONMMUG004445.2	NONMMUT006910.2	493	2
NONMMUG096434.1	NONMMUT154152.1	1345	1
NONMMUG018802.2	NONMMUT030400.2	3115	3
NONMMUG036328.2	NONMMUT124305.1	414	2
NONMMUG044283.3	NONMMUT135616.1	4294	9
NONMMUG035147.2	NONMMUT056601.2	595	2
NONMMUG066191.2	NONMMUT146039.1	874	4
NONMMUG003766.2	NONMMUT005842.2	1524	1
NONMMUG053867.1	NONMMUT086498.1	2063	1
NONMMUG028611.2	NONMMUT046336.2	2320	2
NONMMUG035401.2	NONMMUT123803.1	3540	7
NONMMUG005504.2	NONMMUT008870.2	1257	3
NONMMUG012308.2	NONMMUT019835.2	2839	2
NONMMUG073097.1	NONMMUT116505.1	789	1
NONMMUG007405.2	NONMMUT011694.2	1945	2
NONMMUG047129.1	NONMMUT075960.1	983	4
NONMMUG094605.1	NONMMUT150508.1	977	2
NONMMUG019198.2	NONMMUT031173.2	14867	2
NONMMUG015827.2	NONMMUT025572.2	331	3
NONMMUG063633.1	NONMMUT101688.1	2572	2
NONMMUG089765.1	NONMMUT142533.1	2740	2
NONMMUG019020.3	NONMMUT145243.1	5078	1
NONMMUG040916.2	NONMMUT066116.2	2421	8
NONMMUG004084.2	NONMMUT080457.1	7437	1
NONMMUG005839.2	NONMMUT009375.2	2147	1
NONMMUG021079.2	NONMMUT106060.1	14385	1
NONMMUG017294.2	NONMMUT027904.2	465	1
NONMMUG066181.1	NONMMUT105877.1	874	1
NONMMUG036396.2	NONMMUT058552.2	995	1
NONMMUG019101.2	NONMMUT031005.2	1452	1
NONMMUG055277.1	NONMMUT088725.1	794	3
NONMMUG010287.2	NONMMUT089286.1	4762	1
NONMMUG026161.2	NONMMUT042241.2	1809	4
NONMMUG006517.2	NONMMUT010368.2	2008	1
NONMMUG035759.2	NONMMUT057564.2	1855	4
NONMMUG015426.2	NONMMUT096487.1	2586	7
NONMMUG035053.2	NONMMUT056440.2	3144	2
NONMMUG090581.1	NONMMUT143871.1	713	1
NONMMUG013000.2	NONMMUT020936.2	430	1
NONMMUG000426.2	NONMMUT000620.2	1086	2
NONMMUG049268.1	NONMMUT079182.1	864	3
NONMMUG061715.1	NONMMUT098705.1	762	3
NONMMUG059835.1	NONMMUT095708.1	893	1
NONMMUG081661.1	NONMMUT129974.1	563	5
NONMMUG037997.3	NONMMUT126788.1	3582	5
NONMMUG089463.1	NONMMUT141962.1	2223	1
NONMMUG034100.2	NONMMUT054955.2	4152	4
NONMMUG053244.1	NONMMUT085480.1	586	1
NONMMUG007704.2	NONMMUT085809.1	1205	4
NONMMUG094377.1	NONMMUT150141.1	503	1
NONMMUG022191.2	NONMMUT036057.2	672	1
NONMMUG018960.2	NONMMUT030737.2	2121	2
NONMMUG094163.1	NONMMUT149769.1	2341	2
ENSMUSG00000095332	ENSMUST00000238356	2032	2
NONMMUG089568.1	NONMMUT142140.1	2970	1
NONMMUG015487.2	NONMMUT025032.2	2652	2
NONMMUG038284.2	NONMMUT061967.2	1375	1
NONMMUG003730.2	NONMMUT005779.2	3544	1
NONMMUG012639.3	NONMMUT020349.2	1297	1
NONMMUG015488.2	NONMMUT096521.1	1945	2
NONMMUG093932.1	NONMMUT149380.1	531	1
NONMMUG087890.1	NONMMUT139081.1	557	1
NONMMUG078678.2	NONMMUT151146.1	1441	3
NONMMUG019408.2	NONMMUT031586.2	297	1
NONMMUG040301.2	NONMMUT065202.2	2889	2
NONMMUG011252.2	NONMMUT017982.2	1805	3
NONMMUG000781.3	NONMMUT001165.2	2648	2
NONMMUG093428.1	NONMMUT148537.1	1236	3
NONMMUG014251.3	NONMMUT023035.2	3057	2
NONMMUG041848.3	NONMMUT153001.1	2336	3
NONMMUG094409.1	NONMMUT150194.1	416	4
NONMMUG032793.2	NONMMUT052825.2	2324	1
NONMMUG062789.1	NONMMUT100375.1	722	1
NONMMUG009675.2	NONMMUT015222.2	1023	4
NONMMUG012404.3	NONMMUT143362.1	9267	2
NONMMUG010169.2	NONMMUT089197.1	6986	3
NONMMUG021366.2	NONMMUT034733.2	2027	1
NONMMUG035880.2	NONMMUT124020.1	4898	2
NONMMUG035335.3	NONMMUT150440.1	11210	3
NONMMUG092810.1	NONMMUT147549.1	366	1
NONMMUG023319.2	NONMMUT037765.2	888	2
NONMMUG001097.2	NONMMUT001636.2	2092	2
NONMMUG090856.1	NONMMUT144278.1	2102	2
NONMMUG032041.2	NONMMUT051665.2	2189	2
NONMMUG036628.2	NONMMUT058920.2	2308	1
NONMMUG095445.1	NONMMUT152024.1	1317	2
NONMMUG091943.1	NONMMUT146058.1	567	1
NONMMUG029023.2	NONMMUT114873.1	1942	7
ENSMUSG00000112871	ENSMUST00000219186	456	3
NONMMUG004886.2	NONMMUT007715.2	1260	2
NONMMUG016590.2	NONMMUT026768.2	1705	1
NONMMUG029221.2	NONMMUT114950.1	901	7
NONMMUG042519.2	NONMMUT068675.2	927	3
NONMMUG003499.3	NONMMUT005440.2	1918	2
NONMMUG040964.2	NONMMUT066191.2	1812	2
NONMMUG033441.2	NONMMUT053951.2	4803	2
NONMMUG009054.2	NONMMUT014295.2	231	1
NONMMUG074836.1	NONMMUT119299.1	1628	2
NONMMUG006271.2	NONMMUT010005.2	274	2
NONMMUG015781.2	NONMMUT025494.2	410	1
NONMMUG038958.2	NONMMUT063113.2	3427	1
NONMMUG086574.1	NONMMUT137027.1	610	2
NONMMUG059179.1	NONMMUT094800.1	1763	1
NONMMUG034483.3	NONMMUT123374.1	3974	2
NONMMUG023378.2	NONMMUT037857.2	2116	2
ENSMUSG00000029878	ENSMUST00000221311	5341	1
NONMMUG019223.2	NONMMUT031303.2	881	4
NONMMUG030269.2	NONMMUT048756.2	2981	1
NONMMUG020789.2	NONMMUT033855.2	4072	1
NONMMUG008610.2	NONMMUT013577.2	744	3
NONMMUG060784.1	NONMMUT097243.1	4347	1
NONMMUG040304.2	NONMMUT065205.2	1368	1
NONMMUG095697.1	NONMMUT152476.1	3785	3
NONMMUG029040.2	NONMMUT116584.1	1082	4
NONMMUG002358.2	NONMMUT079241.1	2286	4
ENSMUSG00000089812	ENSMUST00000159407	388	2
NONMMUG018615.2	NONMMUT030128.2	6877	2
NONMMUG040199.2	NONMMUT065070.2	1630	1
NONMMUG088595.1	NONMMUT140433.1	2049	1
NONMMUG013557.2	NONMMUT021819.2	3826	5
NONMMUG036766.3	NONMMUT059172.2	2448	1
NONMMUG002539.2	NONMMUT003932.2	1219	2
NONMMUG029072.3	NONMMUT148015.1	3158	3
NONMMUG010304.2	NONMMUT016401.2	3476	5
NONMMUG032495.2	NONMMUT052331.2	4052	1
NONMMUG094794.1	NONMMUT150808.1	5108	1
NONMMUG015649.2	NONMMUT025282.2	1573	2
NONMMUG047392.2	NONMMUT076396.1	371	3
NONMMUG035399.2	NONMMUT123800.1	2181	6
NONMMUG063564.2	NONMMUT101597.1	1999	1
NONMMUG068096.1	NONMMUT108904.1	1406	2
NONMMUG038930.2	NONMMUT125922.1	844	7
NONMMUG093456.1	NONMMUT148593.1	4582	2
NONMMUG029718.2	NONMMUT047934.2	894	1
NONMMUG044473.2	NONMMUT071779.2	6736	6
NONMMUG063481.1	NONMMUT101440.1	251	2
NONMMUG043978.2	NONMMUT071010.2	2010	2
NONMMUG030780.3	NONMMUT049708.2	7973	2
NONMMUG087826.1	NONMMUT138960.1	586	1
NONMMUG034391.3	NONMMUT055374.2	13431	2
NONMMUG084533.2	NONMMUT153641.1	605	2
NONMMUG020895.2	NONMMUT034012.2	713	1
NONMMUG092778.1	NONMMUT147495.1	2165	1
NONMMUG047820.2	NONMMUT138921.1	7998	1
NONMMUG022241.2	NONMMUT036133.2	944	1
NONMMUG020737.2	NONMMUT105131.1	5459	1
NONMMUG050342.2	NONMMUT007371.2	4755	4
NONMMUG078655.1	NONMMUT125504.1	1366	1
NONMMUG018508.2	NONMMUT029959.2	3394	1
NONMMUG053859.1	NONMMUT086486.1	2000	1
NONMMUG021854.2	NONMMUT035456.2	1221	2
NONMMUG003756.3	NONMMUT139968.1	3362	1
NONMMUG026276.2	NONMMUT042402.2	4580	4
NONMMUG031298.2	NONMMUT050514.2	1195	1
NONMMUG008329.2	NONMMUT013132.2	2659	1
NONMMUG020309.2	NONMMUT032994.2	2700	1
NONMMUG040634.2	NONMMUT065695.2	3654	1
NONMMUG093418.1	NONMMUT148524.1	403	1
NONMMUG021545.2	NONMMUT034981.2	2090	1
NONMMUG094243.1	NONMMUT149934.1	1071	1
NONMMUG084489.2	NONMMUT153617.1	2430	2
NONMMUG001096.2	NONMMUT001635.2	3204	4
NONMMUG007639.2	NONMMUT012075.2	296	1
NONMMUG067958.1	NONMMUT108711.1	318	1
NONMMUG033617.3	NONMMUT054199.2	2000	2
NONMMUG037426.2	NONMMUT060220.2	1788	1
NONMMUG007937.2	NONMMUT012508.2	701	2
NONMMUG038049.2	NONMMUT126803.1	3316	1
NONMMUG046528.1	NONMMUT075056.1	1732	2
NONMMUG020344.3	NONMMUT145700.1	1093	2
NONMMUG029262.3	NONMMUT047288.2	2123	2
NONMMUG023083.2	NONMMUT037432.2	796	1
NONMMUG017790.2	NONMMUT028767.2	372	1
NONMMUG009325.3	NONMMUT014717.2	3580	2
NONMMUG020005.2	NONMMUT032484.2	2190	1
NONMMUG001333.2	NONMMUT075955.1	1172	1
NONMMUG043532.3	NONMMUT070342.2	1761	2
NONMMUG036187.3	NONMMUT150119.1	359	3
NONMMUG038477.2	NONMMUT062385.2	265	1
NONMMUG095734.1	NONMMUT152571.1	916	1
ENSMUSG00000116955	ENSMUST00000231693	624	2
NONMMUG095921.1	NONMMUT152993.1	2294	1
NONMMUG080679.2	NONMMUT152137.1	3720	1
NONMMUG091435.1	NONMMUT145182.1	1080	1
NONMMUG004444.2	NONMMUT006909.2	3168	2
NONMMUG006205.2	NONMMUT085264.1	922	5
NONMMUG045979.2	NONMMUT074138.2	432	1
NONMMUG027411.3	NONMMUT147484.1	4292	1
NONMMUG094662.1	NONMMUT150590.1	216	1
NONMMUG076928.1	NONMMUT122636.1	1853	1
NONMMUG000646.3	NONMMUT075483.1	2136	4
NONMMUG034580.3	NONMMUT123422.1	5056	9
NONMMUG046363.2	NONMMUT074701.2	2698	4
NONMMUG001302.2	NONMMUT075931.1	1887	7
NONMMUG043400.3	NONMMUT070107.2	675	2
NONMMUG016768.2	NONMMUT099820.1	1891	1
NONMMUG093067.1	NONMMUT147964.1	242	1
NONMMUG024696.2	NONMMUT039910.2	1327	3
NONMMUG003732.2	NONMMUT005781.2	1154	2
NONMMUG017057.2	NONMMUT027517.2	3244	1
NONMMUG059834.1	NONMMUT095707.1	1089	1
NONMMUG039204.2	NONMMUT063473.2	1094	1
NONMMUG033250.2	NONMMUT053575.2	4264	2
NONMMUG042692.3	NONMMUT153227.1	3869	2
NONMMUG015375.2	NONMMUT024846.2	522	2
NONMMUG095754.1	NONMMUT152613.1	494	1
NONMMUG066678.1	NONMMUT106692.1	1632	1
ENSMUSG00000118394	ENSMUST00000238664	511	2
NONMMUG053468.1	NONMMUT085889.1	429	5
NONMMUG067070.1	NONMMUT107272.1	1562	1
NONMMUG073660.1	NONMMUT117439.1	1168	2
NONMMUG010558.2	NONMMUT016778.2	3687	1
NONMMUG023807.2	NONMMUT107500.1	528	3
NONMMUG075661.1	NONMMUT120625.1	2289	2
NONMMUG019882.2	NONMMUT032302.2	676	4
NONMMUG032651.2	NONMMUT118553.1	6915	1
NONMMUG057409.1	NONMMUT092079.1	2375	1
NONMMUG007972.2	NONMMUT012553.2	2859	1
NONMMUG029639.2	NONMMUT047822.2	1058	1
NONMMUG033067.3	NONMMUT149599.1	2712	9
NONMMUG004828.2	NONMMUT007617.2	2765	4
NONMMUG056245.1	NONMMUT090304.1	1522	3
NONMMUG034678.2	NONMMUT121859.1	2453	8
NONMMUG087670.1	NONMMUT138710.1	478	1
NONMMUG096049.1	NONMMUT153269.1	1390	2
NONMMUG027675.2	NONMMUT044818.2	2132	1
NONMMUG035320.2	NONMMUT123763.1	2748	3
NONMMUG051324.2	NONMMUT082451.1	4162	2
NONMMUG017534.2	NONMMUT101814.1	1946	6
NONMMUG023363.2	NONMMUT037831.2	1010	2
NONMMUG058256.1	NONMMUT093421.1	3907	2
NONMMUG006101.2	NONMMUT009745.2	5588	3
NONMMUG031550.2	NONMMUT050897.2	3544	2
NONMMUG041169.2	NONMMUT066500.2	2243	1
NONMMUG046197.2	NONMMUT074495.2	2818	1
NONMMUG048436.1	NONMMUT078050.1	405	2
NONMMUG004162.2	NONMMUT080493.1	4375	3
NONMMUG090309.1	NONMMUT143452.1	1745	1
NONMMUG055239.2	NONMMUT141952.1	734	5
NONMMUG094557.1	NONMMUT150425.1	3298	1
NONMMUG007099.2	NONMMUT011253.2	314	1
NONMMUG077961.1	NONMMUT124358.1	663	1
NONMMUG074270.1	NONMMUT118340.1	2074	1
NONMMUG011325.2	NONMMUT018136.2	2724	3
NONMMUG015652.2	NONMMUT025286.2	2933	1
NONMMUG038356.3	NONMMUT062164.2	873	2
NONMMUG035769.2	NONMMUT057586.2	2199	1
NONMMUG008328.2	NONMMUT013131.2	1044	4
NONMMUG026289.2	NONMMUT042419.2	2994	1
NONMMUG028191.2	NONMMUT045670.2	427	3
NONMMUG047767.1	NONMMUT077000.1	340	2
NONMMUG072106.2	NONMMUT148047.1	3320	2
NONMMUG023385.2	NONMMUT037866.2	3778	1
NONMMUG021955.3	NONMMUT146684.1	2143	2
NONMMUG020347.3	NONMMUT145709.1	4107	3
NONMMUG090682.1	NONMMUT144008.1	657	1
NONMMUG035013.2	NONMMUT056372.2	3174	5
NONMMUG002544.2	NONMMUT003937.2	698	3
NONMMUG045662.3	NONMMUT136326.1	7709	14
NONMMUG007645.2	NONMMUT012087.2	375	1
NONMMUG094837.1	NONMMUT150874.1	840	1
NONMMUG005117.2	NONMMUT083065.1	4399	5
NONMMUG004866.2	NONMMUT007689.2	2250	3
NONMMUG042418.2	NONMMUT134069.1	3346	4
NONMMUG006621.2	NONMMUT010530.2	1182	4
NONMMUG092745.1	NONMMUT147454.1	227	1
NONMMUG035402.2	NONMMUT123805.1	5796	18
NONMMUG036491.2	NONMMUT058695.2	3049	1
NONMMUG011722.2	NONMMUT018834.2	1660	3
NONMMUG039070.2	NONMMUT127643.1	5606	1
NONMMUG082685.1	NONMMUT131343.1	1198	1
NONMMUG023473.2	NONMMUT038014.2	745	1
NONMMUG019995.2	NONMMUT104641.1	4161	8
NONMMUG065517.1	NONMMUT104720.1	4946	2
NONMMUG022968.3	NONMMUT146295.1	5105	1
NONMMUG040296.2	NONMMUT065195.2	1469	1
NONMMUG042936.2	NONMMUT069329.2	3645	2
NONMMUG014337.2	NONMMUT096912.1	2103	2
NONMMUG082686.1	NONMMUT131345.1	1782	1
NONMMUG029640.2	NONMMUT047824.2	1106	2
NONMMUG084236.1	NONMMUT133716.1	957	1
NONMMUG038314.3	NONMMUT062058.2	5784	11
NONMMUG045367.2	NONMMUT073165.2	5200	1
NONMMUG019130.3	NONMMUT102693.1	2064	2
NONMMUG045419.3	NONMMUT073241.2	5799	4
NONMMUG017264.2	NONMMUT027861.2	704	2
ENSMUSG00000114433	ENSMUST00000225172	5324	2
NONMMUG018213.2	NONMMUT029472.2	1475	3
NONMMUG096063.1	NONMMUT153301.1	1459	2
NONMMUG001303.2	NONMMUT001943.2	2623	6
NONMMUG012821.3	NONMMUT143437.1	4675	1
NONMMUG035509.2	NONMMUT057204.2	3052	2
NONMMUG031743.2	NONMMUT051217.2	258	1
ENSMUSG00000115354	ENSMUST00000227212	2385	2
NONMMUG021327.2	NONMMUT034679.2	1056	1
NONMMUG054372.1	NONMMUT087303.1	1390	1
NONMMUG034753.2	NONMMUT055947.2	2753	3
NONMMUG025886.2	NONMMUT041827.2	2793	1
NONMMUG004483.3	NONMMUT080724.1	1157	4
NONMMUG057419.1	NONMMUT092104.1	3703	1
NONMMUG002624.2	NONMMUT079428.1	1564	1
NONMMUG012482.2	NONMMUT094182.1	3123	12
NONMMUG042271.3	NONMMUT068336.2	2307	2
NONMMUG019365.2	NONMMUT031517.2	2377	1
NONMMUG034126.2	NONMMUT119636.1	5522	1
NONMMUG019247.2	NONMMUT031340.2	3657	6
NONMMUG027490.2	NONMMUT044544.2	667	2
NONMMUG033007.2	NONMMUT053144.2	2088	1
NONMMUG007776.2	NONMMUT012289.2	290	1
NONMMUG081423.1	NONMMUT129590.1	3539	1
NONMMUG058247.1	NONMMUT093409.1	1090	1
NONMMUG028713.2	NONMMUT046477.2	2359	1
NONMMUG017532.2	NONMMUT028328.2	2965	3
NONMMUG034708.2	NONMMUT055892.2	2981	3
NONMMUG007238.2	NONMMUT085627.1	627	3
ENSMUSG00000114196	ENSMUST00000224095	2713	2
NONMMUG077094.1	NONMMUT122907.1	2456	2
NONMMUG028669.2	NONMMUT046415.2	2568	1
NONMMUG018014.2	NONMMUT029133.2	1921	1
NONMMUG090567.1	NONMMUT143847.1	833	2
NONMMUG039883.2	NONMMUT064604.2	3008	2
NONMMUG088299.1	NONMMUT139866.1	1357	2
NONMMUG067098.1	NONMMUT107323.1	924	1
NONMMUG017390.2	NONMMUT028076.2	2736	1
NONMMUG017890.2	NONMMUT028956.2	2091	1
NONMMUG038347.2	NONMMUT062139.2	2973	3
NONMMUG089371.1	NONMMUT141777.1	734	5
