,source,class
115,Ptn,coding-gene
116,Fzd6,coding-gene
117,Tspan14,coding-gene
118,Lpin1,coding-gene
119,Pmaip1,coding-gene
120,Cbx7,coding-gene
121,Ccnt2,coding-gene
122,Bcl2l11,coding-gene
123,Nr4a2,coding-gene
124,Arhgap32,coding-gene
125,Sqstm1,coding-gene
126,Clic5,coding-gene
127,Msx2,coding-gene
128,Tbx1,coding-gene
129,Nf1,coding-gene
130,Vsir,coding-gene
131,Tgfbi,coding-gene
132,Tbr1,coding-gene
133,Rgs4,coding-gene
134,Gata6,coding-gene
135,Cldn1,coding-gene
136,Acvr2a,coding-gene
137,Dnmt3a,coding-gene
138,Mcl1,coding-gene
139,Pten,coding-gene
140,Foxp1,coding-gene
141,Hoxa11,coding-gene
142,Xiap,coding-gene
143,Zfpm2,coding-gene
144,Hdac4,coding-gene
145,Runx1,coding-gene
146,Pax3,coding-gene
147,Ptpn18,coding-gene
148,Ptpn7,coding-gene
149,Ppp1ca,coding-gene
150,Ppp2ca,coding-gene
151,Nr1h3,coding-gene
152,Il1a,coding-gene
153,Slc25a3,coding-gene
154,Hbp1,coding-gene
155,Lrp6,coding-gene
156,Traf6,coding-gene
157,Fgf10,coding-gene
158,Shox2,coding-gene
159,Osr1,coding-gene
160,Igfbp5,coding-gene
161,Cd209a,coding-gene
162,Timp2,coding-gene
163,Timp1,coding-gene
164,Tceal1,coding-gene
165,Fbxw7,coding-gene
166,Ache,coding-gene
167,Vegfa,coding-gene
168,Cd40,coding-gene
169,Fgf2,coding-gene
170,Gsk3b,coding-gene
171,Slc23a2,coding-gene
172,Hif1an,coding-gene
173,Csnk1a1,coding-gene
174,Cacna1c,coding-gene
175,Ulk1,coding-gene
176,Abhd5,coding-gene
177,Smad5,coding-gene
178,Bmpr2,coding-gene
179,Rho,coding-gene
180,Map3k7,coding-gene
181,Ctbp2,coding-gene
182,Igf2,coding-gene
183,Tcf7l2,coding-gene
184,Idh1,coding-gene
185,Notch1,coding-gene
186,Irs1,coding-gene
187,Mapt,coding-gene
188,Cltc,coding-gene
189,Clcn4,coding-gene
190,Slc4a4,coding-gene
191,Arntl,coding-gene
192,Sox4,coding-gene
193,Dcx,coding-gene
194,Sdc2,coding-gene
195,Myod1,coding-gene
196,Egln1,coding-gene
197,Tlr4,coding-gene
198,Ackr3,coding-gene
199,Piwil2,coding-gene
200,H3f3b,coding-gene
201,Neurod1,coding-gene
202,Uvrag,coding-gene
203,Ifng,coding-gene
204,Il13,coding-gene
